Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A869944,*Dreidel,01/02/2023 11:41:00 AM,Jan 2023,10/25/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Cream
A870224,*Fir,01/02/2023 11:47:00 AM,Jan 2023,10/11/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A871756,,01/03/2023 09:35:00 AM,Jan 2023,06/29/2021,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/White
A871738,,01/03/2023 09:35:00 AM,Jan 2023,12/29/2020,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A866334,Altair,01/03/2023 03:22:00 PM,Jan 2023,11/28/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Blue/White
A871814,Phinneas,01/03/2023 04:12:00 PM,Jan 2023,10/15/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A871706,Ashe,01/03/2023 04:22:00 PM,Jan 2023,05/01/2022,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby
A871707,Ray,01/03/2023 05:10:00 PM,Jan 2023,05/01/2022,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair,White/Brown Tabby
A871586,,01/03/2023 05:29:00 PM,Jan 2023,11/01/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A871601,,01/03/2023 05:36:00 PM,Jan 2023,07/27/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A871610,A871610,01/03/2023 05:49:00 PM,Jan 2023,07/27/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,White/Brown
A871643,Moka,01/03/2023 06:04:00 PM,Jan 2023,10/12/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A871242,*Kimi,01/03/2023 06:10:00 PM,Jan 2023,12/21/2021,Adoption,,Cat,Intact Male,1 year,Domestic Longhair,Blue
A868642,*Patsy,01/03/2023 06:20:00 PM,Jan 2023,06/22/2022,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Torbie/White
A870972,*The Grinch,01/04/2023 10:44:00 AM,Jan 2023,05/16/2022,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Black/White
A870755,Malika,01/04/2023 12:40:00 PM,Jan 2023,09/12/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby
A871628,Reginald,01/04/2023 12:42:00 PM,Jan 2023,12/27/2019,Transfer,Partner,Cat,Unknown,3 years,Domestic Shorthair,Brown Tabby
A869339,*Moose,01/04/2023 12:43:00 PM,Jan 2023,11/16/2020,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A866672,*Woody,01/04/2023 01:08:00 PM,Jan 2023,03/04/2022,Adoption,Foster,Cat,Neutered Male,10 months,Domestic Shorthair,Brown Tabby/White
A872069,Sunny,01/04/2023 01:45:00 PM,Jan 2023,01/03/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby/White
A871452,Bomber,01/04/2023 01:45:00 PM,Jan 2023,07/13/2016,Return to Owner,,Cat,Intact Male,6 years,Domestic Shorthair,Orange
A867269,*Lilac,01/04/2023 01:46:00 PM,Jan 2023,08/10/2022,Transfer,Partner,Cat,Spayed Female,4 months,Ragdoll,Lilac Point
A871451,Miss Kitty,01/04/2023 01:46:00 PM,Jan 2023,12/23/2020,Return to Owner,,Cat,Spayed Female,2 years,Domestic Medium Hair,Black
A871428,A871428,01/04/2023 01:46:00 PM,Jan 2023,11/05/2022,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A871758,Pixie,01/04/2023 04:33:00 PM,Jan 2023,10/29/2022,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair,Calico/Orange
